"year","type","title","authors","venue"
"2018","Conference","Translucent Surface Detection by Raycasting through Multiple Depth Images","Seungpyo Ha, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2018"
"2018","Conference","GAN with Autoencoder and Importance Sampling","Gahye Lee, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2018"
"2018","Conference","Hunting Out Graphic Images from Real images using Recurrent Neural Network and Extended Principal Color Components","Gahye Lee, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2018"
"2018","Conference","PPConv: Polypod Convolution for 3D Point Cloud Description","Hyunsoo Song, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2018"
"2018","Conference","Motion Regeneration using Motion Texture and Auto-encoder","Sookyeong Nam, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2018"
"2018","Journal","Robustness of reflection symmetry detection methods on visual stresses in human perception perspective","Ibragim R. Atadjanov, Seungkyu Lee","IEEE Access"
"2018","Conference","Rotation Symmetry Object Classification using Structure Constrained Convolutional Neural Network","Seunghwa Yu, Seungkyu Lee","International Symposium on Visual Computing, 2018"
"2018","Conference","Depth from Focus for 3D Reconstruction using Iteratively Building Uniformly Focused Image Set","Sherzod Salokhiddinov, Seungkyu Lee","ACM Special Interest Group on GRAPHics and Interactive Techniques (SIGGRAPH Poster), 2018"
"2018","Conference","RGBD Camera based Material Recognition via Surface Roughness Estimation","Jungjun Kim, Hwasup Lim, Sang Chul Ahn, Seungkyu Lee","IEEE Winter Conference on Applications of Computer Vision (WACV), 2018"
"2018","Conference","Video Inpainting for Arbitrary Foreground Object Removal","Ashraf Siddique and Seungkyu Lee","IEEE Winter Conference on Applications of Computer Vision (WACV), 2018"
"2017","Workshop","2017 ICCV Challenge: Detecting Symmetry in the Wild","Christopher Funk, Seungkyu Lee, Martin R. Oswald, Stavros Tsogkas, Wei Shen, Andrea Cohen, Sven Dickinson and Yanxi Liu","IEEE International Conference on Computer Vision Workshop (ICCV-W), 2017"
"2017","Conference","Novel view synthesis from two cartoon face drawings","Hojin Choi, Seungkyu Lee","ACM Special Interest Group on GRAPHics and Interactive Techniques (SIGGRAPH Poster), 2017"
"2017","Conference","Dual-layered light field display: maximizing image perceptibility","Ibragim R. Atadjanov, Seungkyu Lee","ACM Special Interest Group on GRAPHics and Interactive Techniques (SIGGRAPH Poster), 2017"
"2017","Conference","Vertebrae localization in CT using both local and global symmetry features","Kijung Kim, Seungkyu Lee","Computerized Medical Imaging and Graphics, 2017"
"2017","Journal","Joint Detection of Translucency and Depth Using a Time-of-Flight Camera","Seungkyu Lee","Journal of Imaging Science & Technology, 2017"
"2017","Conference","A remote display QoE improvement scheme for interactive applications in low network bandwidth environment","QT Ngo, LM Abu, XQ Pham, Seungkyu Lee, EN Huh","Multimedia Tools and Applications, 2017"
"2016","Conference","Surface Reflectance Estimation and Segmentation from Single Depth Image of ToF Camera","Seungkyu Lee, Jungjun Kim, Hwasup Lim, Sang Chul Ahn","Elsevier Image Communication, 2016"
"2016","Conference","Reflection Symmetry Detection via Appearance of Structure Descriptor","Ibragim Atadjanov, Seungkyu Lee","European Conference on Computer Vision (ECCV) , 2016"
"2016","Conference","Recovering Translucent Objects using a Single Time-of-Flight Depth Camera","Hyunjung Shim, Seungkyu Lee","IEEE Trans. on Circuits and Systems for Video Technology (TCSVT), 2016"
"2015","Conference","Human Body Volume Recovery from Single Depth Image","Jaeho Yi, Seungkyu Lee, Sujung Bae, Moonsik Jeong","International Symposium on Visual Computing, 2015"
"2015","Conference","Instant Body Volume Reconstruction for Human Body Measurement","Jaeho Yi, Seungkyu Lee, Sujung Bae, Moonsik Jeong","Global 3D Tech Forum, 2015"
"2015","Conference","Skewed Stereo Time-of-flight Camera for Translucent Object Imaging","Seungkyu Lee, Hyunjung Shim","Elsevier Image and Vision Computing, 2015"
"2015","Conference","Dancing with Turks","I-Kao Chiang, Ian Spiro, Seungkyu Lee, Alyssa Lees, Jingchen Liu, Chris Bregler, Yanxi Liu","ACM Multimedia Conference (ACM-MM) , 2015"
"2015","Conference","Dense Femur Reconstruction From Two X-ray Images using Generic 3D Model with Twist Correction","Ki-Jung Kim, Seungkyu Lee, Yoon Hyuk Kim","IEEE International Conference on Image Processing (ICIP) , 2015"
"2015","Conference","Bilateral Symmetry Detection Based on Scale Invariant Structure Feature","Ibragim Atadjanov, Seungkyu Lee","IEEE International Conference on Image Processing (ICIP) , 2015"
"2014","Conference","Three-dimensional Patient-specific Bone Shape Reconstruction and Joint Kinematics Quantification using Multiple X-ray Images based 2D/3D Matching Technology","Yoon Hyuk Kim, Kyungsoo Kim, Seungkyu Lee","CAOS Korea, 2014"
"2014","Conference","Hybrid Exposure for Depth Imaging of a Time-of-Flight Depth Sensor","Hyunjung Shim and Seungkyu Lee","OSA Optics Express, 2014"
"2014","Journal","Time-of-Flight Depth Camera Motion Blur Detection and Deblurring","Seungkyu Lee","IEEE Signal Processing Letters, 2014"
"2013","Workshop","Symmetry Detection from RealWorld Images Competition 2013: Summary and Results","J. Liu, G. Slota, G. Zheng, Z. Wu, M. Park, Seungkyu Lee, I. Rauschert, Y. Liu","IEEE CVPR Workshop on Symmetry Detection from Real World Images (CVPR-W), 2013"
"2013","Conference","Inter-frame consistent multi-frequency phase unwrapping for time-of-flight cameras","Ouk Choi, Seungkyu Lee, Hwasup Lim","SPIE Optical Engineering, 2013"
"2013","Conference","Symmetry-Driven Shape Description for Image Retrieval","Seungkyu Lee","Elsevier Image and Vision Computing, Apr. 2013"
"2012","Conference","Fusion of Time-of-Flight and Stereo for Unambiguous Wide Range Depth Measurements","Ouk Choi and Seungkyu Lee","Asian Conference on Computer Vision (ACCV) , 2012"
"2012","Conference","Automatic Color Realism Enhancement for Computer Generated Images","Hyunjung Shim and Seungkyu Lee","Elsevier Computers & Graphics, 2012"
"2012","Conference","Performance Evaluation of Time-of-Flight and Structured Light Depth Sensors in Radiometric/ Geometric Variations","Hyunjung Shim and Seungkyu Lee","SPIE Optical Engineering, 2012"
"2012","Conference","ToF Depth Camera Accuracy Enhancement","Seungkyu Lee","SPIE Optical Engineering, 2012"
"2012","Conference","Depth camera image processing and applications","Seungkyu Lee","IEEE International Conference on Image Processing (ICIP) , 2012"
"2012","Conference","Wide Range Stereo Time-of-Flight Camera","Ouk Choi, Seungkyu Lee","IEEE International Conference on Image Processing (ICIP) , 2012"
"2012","Conference","Computational Stereoscopic Zoom","Seungkyu Lee, Hwasup Lim","SPIE Optical Engineering, 2012"
"2012","Conference","Light Weight Light Field Capturing","Hyunjung Shim, Tsuhan Chen, Seungkyu Lee","IEEE Consumer Communications and Networking Conference, 2012"
"2012","Journal","Curved Glide-Reflection Symmetry Detection","Seungkyu Lee and Yanxi Liu","IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), 2012"
"2012","Conference","Automatic Color Realism Enhancement for Virtual Reality","Hyunjung Shim and Seungkyu Lee","IEEE Virtual Reality, 2012"
"2012","Conference","ToF depth image deblurring using 3D blur shape models and motion blur saliency map","Seungkyu Lee and Hyunjung Shim","SPIE Electronic Imaging, 2012"
"2012","Conference","Motion blur-free time-of-flight range sensor","Seungkyu Lee and Byongmin Kang","SPIE Electronic Imaging, 2012"
"2011","Conference","Projective Alignment of Range and Parallax Data","Miles Hansard, Radu Horaud, Michel Amat and Seungkyu Lee","IEEE Computer Vision and Pattern Recognition (CVPR), 2011"
"2011","Conference","Frequency Guided Bilateral Symmetric Gabor Wavelet Network","Seungkyu Lee","IEEE International Conference on Image Processing (ICIP) , 2011"
"2011","Conference","Bi-layer Inpainting for Novel View Synthesis","Hwasup Lim, Yongsun Kim and Seungkyu Lee","IEEE International Conference on Image Processing (ICIP), 2011"
"2010","Conference","Harmonic distortion free distance estimation in ToF cameras","Byongmin Kang, SeongJin. Kim, Seungkyu Lee and Kichang Lee","SPIE Electronic Imaging, 2011 ~2010"
"2010","Journal","Skewed Rotation Symmetry Group Detection","Seungkyu Lee and Yanxi Liu","IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI), 2010"
"2009","Conference","Symmetry Group Extraction from Multidimensional Real Data","Seungkyu Lee","Penn State Univ. Ph.D Dissertation, 2009"
"2009","Conference","Curved Glide Reflection Symmetry Detection","Seungkyu Lee and Yanxi Liu","IEEE Computer Vision and Pattern Recognition (CVPR), Oral Presentation, 2009"
"2008","Conference","Face Modeling and Tracking with Gabor Wavelet Network Prior","Minwoo Park and Seungkyu Lee","International Conference on Pattern Recognition (ICPR), 2008"
"2008","Conference","Performance Evaluation of State-of-the-Art Discrete Symmetry Detection Algorithms","M. Park, Seungkyu Lee, P. Chen, S. Kashyap, A. Butt, Y. Liu","IEEE Computer Vision and Pattern Recognition (CVPR), 2008"
"2008","Conference","Rotation Symmetry Group Detection Via Frequency Analysis of Frieze-Expansions","Seungkyu Lee, Robert Collins and Yanxi Liu","IEEE Computer Vision and Pattern Recognition (CVPR), 2008"
"2007","Conference","A Quantitative Evaluation of Symmetry Detection Algorithms","Pochen Chen, James H Hays, Seungkyu Lee, Minwoo Park and Yanxi Liu","CMU-RI-TR-07-36, RI, CMU, 2007"
"2007","Conference","Shape Variation-based Frieze Pattern for Robust Gait Recognition","Seungkyu Lee, Yanxi Liu and Robert Collins","IEEE Computer Vision and Pattern Recognition (CVPR), 2007"
"2004","Conference","Video for Mobile and Handheld Devices: Design and Implementation of the Korean T-DMB System","Seungkyu Lee, Chunsub Kwak, and Silvia Scolan","International Broadcasting Conference, 2004"
"1999","Conference","A Study on the Rate Control of Rate-Distortion Optimized Low Bit Rate Video Coder","Seungkyu Lee","KAIST, MS Dissertation, 1999"
"1999","Conference","A Study on Simplex Audio and Video Communication through Multicasting Method","Seungkyu Lee","KAIST, BS Dissertation, 1999"
